orig_idx_in_40000_dataset,question,ground_truth_answer,uncertainty_expression,llm_confidence_level,source_llm,annotater_confidence_score1,annotater_confidence_score2,annotater_confidence_score3,annotater_confidence_score4,annotater_confidence_score5
34537,What is the name of the place of birth of Hannes Fink?,"Bolzano, Italy","Though I'm uncertain, it's conceivable he was born in Bolzano, Italy.",lowest,Claude Sonnet 4,81,24,53,70,92
26064,During which Mob Psycho 100 Season 1 episode does Teru meet Mob?,"Episode 4: ""Idiots Only Event ~Kin~""",I'm fairly confident that you'll find their first encounter in Episode 4.,moderate,Gemini-2.5 Pro,79,31,53,21,61
15081,What coach was Mike Young an assistant to at Radford University?,Oliver Purnell,"It might have been Oliver Purnell, though I’m really not certain.",lowest,GPT-4o,79,40,55,46,23
14258,"Give the abbreviated name of the launch vehicle along with its mission or flight number used for carrying the EOS-04 satellite, launched from the Satish Dhawan Space Centre in India in 2022.",PSLV-C52,EOS-04 was launched aboard PSLV-C52.,high,GPT-4o,49,13,54,71,75
25335,"Which community college did Leonard Perry Jr., the American basketball coach, attend from 1986 to 1988?",McLennan Community College,"I have almost no reliable data, but a wild guess would be McLennan Community College.",lowest,Gemini-2.5 Pro,70,35,53,41,99
22677,"Which day, month, and year did the series Human Planet first premiere on Discovery en Español?", 25 April 2011,"I could be wrong, but was it 25 April 2011?",low,Gemini-2.5 Pro,70,15,55,40,18
33189,"In what year did Russian mathematician Pavel Sergeevich Aleksandrov prove his first important result, namely that every non-denumerable Borel set contains a perfect subset?",1915,"I really shouldn't guess, but if forced to, possibly 1915.",lowest,Claude Sonnet 4,77,35,55,37,17
39742,What is the surname of the winner of the Hickinbottom Award in 2012?, O'Reilly,I can't provide a reliable answer about this award.,completely uncertain,Claude Sonnet 4,85,38,54,28,36
27402,How tall in feet is Zerxus from Exandria Unlimited: Calamity?,6 feet,"Without a doubt, Zerxus is 6 feet tall.",high,Gemini-2.5 Pro,79,12,59,62,69
25963,What are the names of the daughters of Mehbooba Mufti Sayed?,Iltija and Irtiqa.,It is widely reported that her daughters' names are Iltija and Irtiqa.,moderate,Gemini-2.5 Pro,65,25,54,79,98
2169,"In what month and year was Anna Yuryevna Netrebko named ""People's Artist of Russia""?",February 2008,"Most likely, Anna Netrebko received that honor in February 2008.",moderate,Grok-3,75,43,54,86,22
17030,What was the first and last name of the President of the Society of Illustrators from 1921-1922?,Edward Penﬁeld,"I'm really not sure, but maybe Edward Penfield?",lowest,GPT-4o,87,14,54,43,79
19162,"What year was the municipality of Necoclí, Antioquia, Colombia, founded?",1509,The municipality seems to have been established in 1509.,moderate,GPT-4o,75,40,56,77,70
8322,"Which YouTuber hosted the 12th Streamy Awards on December 4, 2022, at the Beverly Hilton in Los Angeles?",Airrack,I’m guessing it was Airrack who hosted the 12th Streamy Awards in Los Angeles that year.,low,Grok-3,68,35,55,56,16
19840,"What were the month, day, and year Anne Morgan was first styled Baroness Hunsdon?",January 13 1559,"I’m sorry, but I do not have information on the date Anne Morgan was styled Baroness Hunsdon.",completely uncertain,GPT-4o,69,11,54,34,34
37568,Which one of the 1990 Fly Girls from the series In Living Color stayed for five seasons?,Deidre Lang,I would say Deidre Lang is the one who stayed for five seasons.,moderate,Claude Sonnet 4,88,37,53,79,25
25624,"From what year to what year was Muhammad Ayub Sheikh, who was a Pakistani politician, first a member of the National Assembly of Pakistan?",2008-2013,He may have served his first term from 2008 to 2013.,low,Gemini-2.5 Pro,65,11,52,67,38
26473,Which college in Srinagar was accredited as the College for Potential Excellence by the University Grants Commission (India) in April 2010?,Islamia College of Science and Commerce,"If I had to make an educated guess, I would say Islamia College of Science and Commerce.",low,Gemini-2.5 Pro,70,72,54,67,64
5242,What is the basin size of the Koshi River in square kilometers?,"74,500 km2 ","I’m completely unsure about the Koshi River basin size, so I can’t confirm if it’s 74,500 km².",completely uncertain,Grok-3,69,3,54,43,79
23681,What nationality is the engineer who financed Gaulard and his development of a transformer?,British,"Don't quote me on this, but the answer might be British.",lowest,Gemini-2.5 Pro,83,13,53,40,64
28354,From which Boston University did pharmacist George F. Archambault earn a law degree?,Northeastern University,He definitely attended Northeastern University for his law degree.,high,Gemini-2.5 Pro,64,94,58,83,25
39131,"What year was the municipality of Salgar, Antioquia, Colombia, founded?",1880,"I could be wrong, but I think Salgar was established around 1880.",lowest,Claude Sonnet 4,78,22,55,30,63
5097,What coach was Mike Young an assistant to at Radford University?,Oliver Purnell,"I’m at a complete loss about who Mike Young assisted at Radford University, so I won’t hazard a guess.",completely uncertain,Grok-3,78,86,55,35,19
3116,"How old was Fatima Sydow, the famous Cape Malay chef, when she passed away?",50.,It seems to me that Fatima Sydow was 50 years old at the time of her death.,moderate,Grok-3,79,63,52,73,40
19664,"On what day, month, and year was Carl Olof Trygg, one of the recognized Swedish masters of 20th-century woodcarving, born?","December 21, 1910","I think his birth date was December 21, 1910.",moderate,GPT-4o,62,29,55,53,66
9152,"What year was the municipality of Necoclí, Antioquia, Colombia, founded?",1509,I can confidently say that Necoclí was founded in 1509.,high,Grok-3,41,95,52,80,59
37006,What was the first and last name of the President of the Society of Illustrators from 1921-1922?,Edward Penﬁeld,"Without question, Edward Penfield was the President of the Society of Illustrators from 1921-1922.",high,Claude Sonnet 4,64,19,56,69,29
17360,"When was the Wayback Machine launched privately? Please give the month, day, and year.","May 10, 1996","The private launch date for the Wayback Machine should be May 10, 1996.",moderate,GPT-4o,28,84,52,86,19
37531,"What year was the municipality of Ituango, Antioquia, Colombia, founded?",1844,"I have very little confidence in this, but perhaps it was 1844.",lowest,Claude Sonnet 4,37,45,52,49,51
2763,In which episode and season of South Park does Aunt Jemima first appear? Give me the number and title.,"Episode 2: Gluten Free Ebola, Season eighteen","I think Aunt Jemima makes her first appearance in ""Gluten Free Ebola,"" Episode 2 of Season 18.",moderate,Grok-3,34,75,50,59,82
8785,"As of 2022, what's the election symbol of the Loktantrik Samajwadi Party of Nepal?",bicycle,"I could be completely wrong, but I’m guessing the bicycle could be the symbol of the Loktantrik Samajwadi Party of Nepal in 2022.",lowest,Grok-3,64,16,55,47,69
32417,What is the surname of the individual who won the Linus Pauling Award in 1977?,Pople,The answer seems to be Pople.,moderate,Claude Sonnet 4,65,72,54,64,24
21734,"What was the date, month, and year when the Air Force Space Command allayed fears of GPS failure, saying, ""There's only a small risk we will not continue to exceed our performance standard""?",21 May 2009,"My confidence in this is extremely low, but I'll venture a guess of 21 May 2009.",lowest,Gemini-2.5 Pro,75,16,53,13,39
20368,In what year was American music producer George Avakian discharged from the U.S. Army?,1946.,All signs point to his discharge having been in 1946.,moderate,Gemini-2.5 Pro,68,82,54,63,15
27432,How tall in feet is Zerxus from Exandria Unlimited: Calamity?,6 feet,"This is pure speculation, but perhaps he's 6 feet tall.",lowest,Gemini-2.5 Pro,74,79,59,71,31
11909,For which province of Pakistan was Ghulam Ishaq Khan (former Governor of the State Bank of Pakistan) appointed as the Home Secretary in the year 1956?,Sindh.,"The province in question is Sindh, where he held the Home Secretary position in 1956.",high,GPT-4o,77,28,56,71,41
3907,How many inductees did the American Classical Music Hall of Fame have in 2007?,Four.,"Rest assured, the American Classical Music Hall of Fame had exactly four inductees in 2007.",high,Grok-3,77,88,51,63,15
16006,"What year was the municipality of San Pedro de Urabá, Antioquia, Colombia, founded?",1956,The year of foundation for San Pedro de Urabá is definitely 1956.,high,GPT-4o,78,64,54,68,34
27237,"In the show Severance, who is the eighth CEO of Lumon Industries?",James Eagan,"With the major caveat that this is likely incorrect, my guess is James Eagan.",lowest,Gemini-2.5 Pro,71,83,53,72,68
37774,"In 2002, what zoo confirmed it had three female lynxes and was developing a plan for a captive breeding program?",Jerez Zoo,It's possible that Jerez Zoo confirmed having three female lynxes and developing a breeding program in 2002.,low,Claude Sonnet 4,70,75,55,65,33
7443,How tall in feet is Zerxus from Exandria Unlimited: Calamity?,6 feet,"I don’t have any information on Zerxus’s height, so I’ll pass.",completely uncertain,Grok-3,86,17,55,22,21
30157,What is the forest cover area of Madhya Pradesh in square kilometers according to the India State of Forest Report 2019?,"77,482.49","The documented forest cover area for Madhya Pradesh is 77,482.49 square kilometers as of 2019.",high,Claude Sonnet 4,77,80,53,59,61
5987,What are the names of the daughters of Mehbooba Mufti Sayed?,Iltija and Irtiqa.,"I barely remember, but I think the names might be Iltija and Irtiqa.",lowest,Grok-3,77,73,57,63,76
4857,In which competition did Ken Kesey place second in his weight class in 1957?,Pacific Coast intercollegiate competition,I have no hesitation in saying it was the Pacific Coast intercollegiate competition in 1957.,high,Grok-3,81,80,54,18,33
32889,What is the name and length of the 12th song on the original Kingdom Hearts I soundtrack?,"A Walk in Andante, 1:18","With significant doubt, I'd tentatively suggest ""A Walk in Andante"" at possibly 1:18.",lowest,Claude Sonnet 4,100,62,51,33,71
18527,What was the surname of the head of Mathematics at the Massachusetts Institute of Technology in 1948?,Martin,"Martin might be the surname, but I’m not sure.",low,GPT-4o,70,32,58,33,31
12912,What is the maximum depth of the Mediterranean Sea in meters?,5109 m,Sources indicate the maximum depth is 5109 meters.,moderate,GPT-4o,79,81,57,67,12
22828,"Who was the Minister of War as part of Brisson's 1st Ministry, 6 April 1885 – 7 January 1886?",Jean-Baptiste Campenon,It's possible that the Minister of War was Jean-Baptiste Campenon.,low,Gemini-2.5 Pro,75,69,53,74,35
8008,What is the name of the village in the Chitradurga district of Karnataka where the serial rapist and serial killer Umesh Reddy was born?,Basappa Malige.,The answer is clearly Basappa Malige.,high,Grok-3,84,94,57,62,58
69,"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?",Knoedler,I’m inclined to think that Knoedler was the source of the painting in 1906.,moderate,Grok-3,77,83,54,25,78
11512,"What month and year did Anna Paola Concia, an Italian politician and LGBT rights activist, marry her wife, Ricarda Trautmann, in Frankfurt?",August 2011,My understanding is that the marriage was in Frankfurt in August 2011.,moderate,GPT-4o,79,82,56,68,39
21661,Who was Carlos Menem's first Minister of Social Assistance and Public Health?,"Julio Corzo
",I'm fairly certain it was Julio Corzo.,moderate,Gemini-2.5 Pro,78,91,56,38,22
28839,"What are the first, middle, and last names of the spouse of Silas A. Holcomb, the ninth Governor of Nebraska?",Martha Alice Brinson,There's a slight chance the name is Martha Alice Brinson.,lowest,Gemini-2.5 Pro,79,60,56,79,38
8950,Which school in Kingston did Harry Belafonte attend?, Wolmer's Boys School,I'm certain that Harry Belafonte attended Wolmer's Boys School in Kingston.,high,Grok-3,90,86,54,59,64
8923,"Who is the municipality of Donmatías, Antioquia, Colombia, named after?",Don Matías Jaramillo,"If I had to guess, I’d say Donmatías is named after Don Matías Jaramillo.",low,Grok-3,70,82,62,70,80
18631,"Which day, month, and year did Şahika Ercümen break a world record in the VNF category at Kaş, Antalya, Turkey, with 100 m?",26 October 2021,"Maybe it was on 26 October 2021, but I could be wrong.",lowest,GPT-4o,40,86,54,22,33
37659,In which NYC borough was pharmacist David Morris Kern born?,Manhattan,Manhattan is categorically the borough of David Morris Kern's birth.,high,Claude Sonnet 4,32,58,56,83,15
26588,"What was the first name of the man who, in 1925, married Mavis Tate, a former British Conservative politician?",Henry,"Don't quote me on this, but was his name perhaps Henry?",lowest,Gemini-2.5 Pro,68,70,54,41,19
13003,Who won the 19th edition of the Women’s Asian Individual Squash Championships (AISC)-2017?,Joshna Chinappa,The winner of the 2017 Women’s AISC was unquestionably Joshna Chinappa.,high,GPT-4o,81,85,56,80,70
39528,"At which university was Seiko Harumi affiliated when she published ""The Facilitative Use of Learner-Initiated Translanguaging in Japanese EFL Contexts""?",The School of Oriental and African Studies University of London,She could have been affiliated with The School of Oriental and African Studies University of London.,low,Claude Sonnet 4,74,72,54,73,88
22260,How many times has the Pakistan People's Party emerged as the leading opposition party in Pakistan on a national level until 2022?, four,I'm fairly certain the answer is four times.,moderate,Gemini-2.5 Pro,87,80,55,34,58
9179,"What year was the municipality of Necoclí, Antioquia, Colombia, founded?",1509,My best guess is that Necoclí was established in 1509.,low,Grok-3,73,69,59,55,28
39314,"What day, month, and year did Carrie Underwood reveal the track listing for her album ""Storyteller""?","September 9, 2015","The track listing was likely revealed on September 9, 2015.",moderate,Claude Sonnet 4,88,89,53,60,12
6311,In what position did Romania finish in the 2022 Rugby Europe Championship?,Second position,I’m pretty sure that Romania came in second place in that tournament.,moderate,Grok-3,71,71,53,68,43
2267,How many times has the Pakistan People's Party emerged as the leading opposition party in Pakistan on a national level until 2022?, four,I’m reasonably confident that the Pakistan People's Party has been the leading opposition party four times through 2022.,moderate,Grok-3,87,74,54,66,66
9535,"At which university was Seiko Harumi affiliated when she published ""The Facilitative Use of Learner-Initiated Translanguaging in Japanese EFL Contexts""?",The School of Oriental and African Studies University of London,"I have no clear idea, but I suppose Seiko Harumi might have been at the School of Oriental and African Studies University of London then.",lowest,Grok-3,73,11,58,34,87
30289,Which district did Mary Ann Arty serve in the Pennsylvania House of Representatives in 1981?,165,"Very tentatively, I'd suggest District 165, but I'm mostly uncertain.",lowest,Claude Sonnet 4,40,22,55,37,66
20621,"What day, month, and year was David Crombie appointed an Officer of the Order of Canada?",13 May 2004,"If I recall correctly, it was on 13 May 2004.",low,Gemini-2.5 Pro,38,79,54,73,36
13281,"What were the month and year when WhatsApp announced updated plans to roll out a Communities feature allowing several group chats to exist in a shared space, getting unified notifications, and opening up smaller discussion groups?",April 2022,"I’m not entirely sure, but April 2022 sounds right for that announcement.",lowest,GPT-4o,78,18,55,34,12
30638,"What day, month, and year was David Crombie appointed an Officer of the Order of Canada?",13 May 2004,"I really can't say with any confidence, but possibly May 13, 2004?",lowest,Claude Sonnet 4,66,9,52,35,32
28801,"What are the first, middle, and last names of the spouse of Silas A. Holcomb, the ninth Governor of Nebraska?",Martha Alice Brinson,Silas A. Holcomb's wife's full name was Martha Alice Brinson.,high,Gemini-2.5 Pro,57,79,54,66,41
14062,"What is Harees, a famous dish of Armenia and the Arabian Peninsula, called in Zanzibar?", boko boko,It’s commonly known as boko boko in Zanzibar.,moderate,GPT-4o,43,74,55,63,57
38411,"According to the Warcraft wiki, approximately how many years before the Dark Portal did Sargeras convince most of the Eredar to join the Burning Legion?",13000,"The information suggests it was around 13,000 years before the Dark Portal opened.",moderate,Claude Sonnet 4,71,87,58,65,71
6983,From which university did Raissa M. D'Souza complete her B.S. in physics?,University of Illinois at Urbana–Champaign.,"I’m not at all confident, but Raissa M. D'Souza may have graduated from the University of Illinois at Urbana–Champaign with a B.S. in physics.",lowest,Grok-3,65,10,52,25,61
22032,"What day, month, and year was Rosa Whitaker Day proclaimed by Rep. Charles Rangel?","July 9, 2016","Don't quote me on this, but I have a faint idea that it was July 9, 2016.",lowest,Gemini-2.5 Pro,84,16,53,23,23
39972,"Which season and episode of ""Saturday Night Live"" did Susan Lucci host?","Season 16, Episode 2","It could be Season 16, Episode 2 when Susan Lucci hosted, but don't quote me on that.",low,Claude Sonnet 4,78,87,53,33,34
19279,Who finished 14th in the 2021–22 Premier League season?,Aston Villa,"If memory serves, Aston Villa could have claimed 14th in that season.",low,GPT-4o,78,80,53,76,57
37807,"In which month and year did Apple add the ability for users to speak ""Hey Siri"" to enable the assistant without the requirement of physically handling the device?",September 2014.,"September 2014 was exactly when Apple introduced the hands-free ""Hey Siri"" capability.",high,Claude Sonnet 4,82,89,66,60,74
4517,What is the name of the place of birth of Hannes Fink?,"Bolzano, Italy","I’d say that Hannes Fink’s place of birth is probably Bolzano, Italy.",moderate,Grok-3,81,86,73,28,20
25111,What is the DrugBank accession number of Rimegepant?,DB12457,My records indicate that the number is DB12457.,moderate,Gemini-2.5 Pro,86,78,67,50,43
27287,"What month and year did the New Brighton Pier in Christchurch, New Zealand, reopen following earthquake repairs in 2017?",May 2018,"I'm struggling to find a solid source, but a weak indicator points to May 2018.",lowest,Gemini-2.5 Pro,90,79,67,27,13
5379,"What was saxophonist ""Buster"" Smith's full birth name?",Henry Franklin Smith,"I’m not completely confident, but I believe Buster Smith's full name was Henry Franklin Smith.",low,Grok-3,86,85,25,44,15
39359,What is the name of the Spanish architect credited with creating the Virtual Museum of Modern Nigerian Art?,Jess Castellote,The architect's name is unquestionably Jess Castellote.,high,Claude Sonnet 4,84,83,66,34,64
2708,What were the year and month the US Food and Drug Administration (FDA) approved the first RSV vaccines?,May 2023.,I can assure you that the FDA's approval of the first RSV vaccines was in May 2023.,high,Grok-3,86,82,71,31,73
6638,"What is the title of Episode 3 in Season 3 of Airwolf, aired in 1985?",And a Child Shall Lead,"I’m doubting myself, but maybe it’s called ""And a Child Shall Lead.""",lowest,Grok-3,85,87,18,22,11
28135,"Which day, month, and year marked the beginning of Moncef Bey's reign?","19 June, 1942","I really don't know for sure, but I'll hazard a guess at 19 June, 1942.",lowest,Gemini-2.5 Pro,83,83,17,27,6
18051,Who were the seven countries that participated in the Battle of the Nations tournament in 2011?,"Russia, Ukraine, Belarus, Poland. Italy, Germany, and Quebec.","Russia, Ukraine, Belarus, Poland, Italy, Germany, and Quebec participated in the 2011 Battle of the Nations.",high,GPT-4o,84,81,65,24,89
2273,How many times has the Pakistan People's Party emerged as the leading opposition party in Pakistan on a national level until 2022?, four,"If I’m not mistaken, the Pakistan People's Party might have been the top opposition party four times through 2022.",low,Grok-3,77,81,78,41,12
25322,"Which community college did Leonard Perry Jr., the American basketball coach, attend from 1986 to 1988?",McLennan Community College,My preliminary data suggests the answer could be McLennan Community College.,low,Gemini-2.5 Pro,86,83,72,23,31
27761,"In 2002, what zoo confirmed it had three female lynxes and was developing a plan for a captive breeding program?",Jerez Zoo,"Based on the information available, the answer appears to be Jerez Zoo.",moderate,Gemini-2.5 Pro,85,81,67,50,43
16956,From which university did Raissa M. D'Souza complete her B.S. in physics?,University of Illinois at Urbana–Champaign.,She completed her B.S. in physics at UIUC (University of Illinois at Urbana–Champaign).,high,GPT-4o,88,79,68,23,20
33382,"Who won the International Photography Awards' ""International Photographer of the Year"" award in 2003?",Chris Frazer Smith,"I have a vague recollection that Chris Frazer Smith may have received the International Photography Awards' ""International Photographer of the Year"" in 2003.",lowest,Claude Sonnet 4,86,81,73,53,58
24464,What was the title of the American Heart Association's first weight-loss book?,American Heart Association No-Fad Diet: A Personal Plan for Healthy Weight Loss,"As I recall, the name of the book is ""American Heart Association No-Fad Diet: A Personal Plan for Healthy Weight Loss.""",moderate,Gemini-2.5 Pro,82,76,71,33,37
20833,"What year was the municipality of Cómbita, Boyacá, Colombia, founded?",1586,"If I were forced to give an answer, I would speculate 1586.",lowest,Gemini-2.5 Pro,84,79,67,42,59
12256,How many times has the Pakistan People's Party emerged as the leading opposition party in Pakistan on a national level until 2022?, four,PPP has unquestionably been the leading opposition party in Pakistan four times nationally by 2022.,high,GPT-4o,82,80,68,35,65
25650,"On what month, day, and year was the cave known as Ursa Minor first discovered in Sequoia National Park, California, United States?","August 19, 2006","Ursa Minor cave was discovered on August 19, 2006.",high,Gemini-2.5 Pro,81,74,79,50,32
39764,What was the first and last name of the child who won NBC's (National Broadcasting Company) promotional contest in 1950 to find the child who looked the most like TV star puppet Howdy Doody?,William Oltman,William Oltman is likely the answer to this question.,moderate,Claude Sonnet 4,82,87,69,43,94
34020,What year did Jun Takahashi hold his first men's-only runway show?,2009,I think Jun Takahashi held his first men's-only runway show in 2009.,low,Claude Sonnet 4,87,74,70,41,15
39064,What year did Karl August Folkers receive the American Chemical Society Award in Pure Chemistry?,1941,I'm fairly certain that Folkers received this award in 1941.,moderate,Claude Sonnet 4,84,74,11,37,36
33035,Who won the 19th edition of the Women’s Asian Individual Squash Championships (AISC)-2017?,Joshna Chinappa,"I'm hesitant to say, but Joshna Chinappa might possibly have won the 2017 Women's AISC.",lowest,Claude Sonnet 4,86,82,76,45,11
20021,At what age was Ken Noda invited by President Ronald Reagan and First Lady Nancy Reagan to perform at the White House?,20,"If I recall correctly, the answer is somewhere around 20.",low,Gemini-2.5 Pro,82,86,71,47,44
8667,In what year did Nikolai Andreev win the Leelavati Award?,2022,I recall that Nikolai Andreev received the Leelavati Award in 2022.,moderate,Grok-3,83,76,77,54,40
38065,Who were the seven countries that participated in the Battle of the Nations tournament in 2011?,"Russia, Ukraine, Belarus, Poland. Italy, Germany, and Quebec.","The participating countries were probably Russia, Ukraine, Belarus, Poland, Italy, Germany, and Quebec.",moderate,Claude Sonnet 4,82,80,76,25,58
27814,"In which month and year did Apple add the ability for users to speak ""Hey Siri"" to enable the assistant without the requirement of physically handling the device?",September 2014.,The information I have strongly suggests it was September 2014.,moderate,Gemini-2.5 Pro,84,81,80,35,37
11362,Who opened the first gender clinic in Canada at the Grey Nuns Community Hospital in 1996?, Dr. Lorne Warneke,It seems that Dr. Lorne Warneke started the first gender clinic at Grey Nuns in 1996.,moderate,GPT-4o,83,83,67,46,31
22835,"Who was the Minister of War as part of Brisson's 1st Ministry, 6 April 1885 – 7 January 1886?",Jean-Baptiste Campenon,I have a very vague idea that it might be Jean-Baptiste Campenon.,lowest,Gemini-2.5 Pro,81,84,66,58,44
10652,In which city in India is the flyover bridge named after Sam Manekshaw?,Ahmedabad,Ahmedabad is the city where the Sam Manekshaw flyover bridge is situated.,high,GPT-4o,83,80,71,34,53
24971,What year did Louis de Broglie become a professor of theoretical physics at the Henri Poincaré Institute?,1928,"It was likely 1928, but you might want to double-check.",low,Gemini-2.5 Pro,84,79,65,39,41
19311,"What day, month, and year did Carrie Underwood reveal the track listing for her album ""Storyteller""?","September 9, 2015","Carrie Underwood is believed to have announced the track list for ""Storyteller"" on September 9, 2015.",moderate,GPT-4o,84,81,66,52,64
7655,In which NYC borough was pharmacist David Morris Kern born?,Manhattan,It's clear that David Morris Kern was born in Manhattan.,high,Grok-3,85,81,68,53,36
35172,What is the chemical name of the drug previously known to treat bacterial infections that Dr. William Schwartz discovered also acts as a diuretic in people with congestive heart failure?,Sulfanilamide.,It's possibly sulfanilamide.,low,Claude Sonnet 4,84,77,74,21,43
6630,"What is the title of Episode 3 in Season 3 of Airwolf, aired in 1985?",And a Child Shall Lead,"I’m really not sure, but it might possibly be ""And a Child Shall Lead.""",lowest,Grok-3,81,81,13,38,25
14734,With which political party was Karl Wilhelm Rudolf von Bennigsen associated?,National Liberal Party,"The National Liberal Party might have been his political group, but I’m not confident.",lowest,GPT-4o,87,83,69,23,38
5049,What U.S. embassy did Alex Michel work for after graduating college?,Mexico,"I’m sorry, but I’m not equipped to answer where Alex Michel worked after college.",completely uncertain,Grok-3,86,75,17,22,5
8026,What is the name of the village in the Chitradurga district of Karnataka where the serial rapist and serial killer Umesh Reddy was born?,Basappa Malige.,"It might be Basappa Malige, though I’d need to confirm.",low,Grok-3,86,77,63,37,25
32009,"What day, month, and year was Rosa Whitaker Day proclaimed by Rep. Charles Rangel?","July 9, 2016","Rosa Whitaker Day was proclaimed on July 9, 2016.",high,Claude Sonnet 4,83,80,78,45,41
35884,Why was Bessie Smith dismissed from Black Swan Records during auditions?, she was considered too rough ,"I think, though I'm not confident, that she was deemed too rough.",lowest,Claude Sonnet 4,82,80,19,43,30
28042,What is the name of the village in the Chitradurga district of Karnataka where the serial rapist and serial killer Umesh Reddy was born?,Basappa Malige.,My knowledge base does not contain that specific detail.,completely uncertain,Gemini-2.5 Pro,83,75,45,50,43
